sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
800,PO_800,Vepoor -509320,509320,postoffice,7,16.59698,78.41235,252991
801,PO_801,Vepoor -509320,509320,postoffice,7,16.59695,78.41232,252899
802,PO_802,Yadireddy Pally -509209,509209,postoffice,7,16.55766,78.37435,299949
803,PO_803,Yellikal -509324,509324,postoffice,7,16.61551,78.5438,281415
804,PO_804,Kurella -508111,508111,postoffice,7,17.42772,79.18753,202178
805,PO_805,Zoopally -509324,509324,postoffice,7,16.63985,78.59894,250369
806,PO_806,Laxmapuram -508113,508113,postoffice,7,17.34977,79.11618,175842
807,PO_807,Azmapur B.O -508243,508243,postoffice,7,16.62226,79.06816,179648
808,PO_808,Bandathimmapuram B.O -508243,508243,postoffice,7,16.7839,78.98027,293281
809,PO_809,Chilakamarri -508257,508257,postoffice,7,16.7296,79.03782,328718
810,PO_810,Chinthakuntla -508243,508243,postoffice,7,16.6779,79.01854,179807
811,PO_811,Devarakonda Lsg So -508248,508248,postoffice,7,16.69187,78.92321,177689
812,PO_812,Devathpally B.O -508243,508243,postoffice,7,16.78072,78.94839,293049
813,PO_813,Duggiala -508243,508243,postoffice,7,16.68106,79.09497,179358
814,PO_814,Dugyala -508243,508243,postoffice,7,16.68113,79.09485,179427
815,PO_815,Gandhinagar Tso -508248,508248,postoffice,7,16.69396,78.91637,177729
816,PO_816,Munipampula -508113,508113,postoffice,7,17.32,79.1525,176080
817,PO_817,Gatlamallepally B.O -508373,508373,postoffice,7,16.84978,78.99255,295008
818,PO_818,Musipatla,,postoffice,7,17.41091,79.2438,196356
819,PO_819,Gb Palli -508257,508257,postoffice,7,16.78842,79.15296,328737
820,PO_820,Ghanapur,,postoffice,7,16.73894,79.11749,330641
821,PO_821,Gonaboinapally Bo -508258,508258,postoffice,7,16.54173,78.81548,283857
822,PO_822,Gudipalli -508257,508257,postoffice,7,16.76384,79.07953,184826
823,PO_823,Gummadavalli -508257,508257,postoffice,7,16.74961,79.00436,353246
824,PO_824,Paladugu -508111,508111,postoffice,7,17.3933,79.2024,202177
825,PO_825,Palliwada -508113,508113,postoffice,7,17.33013,79.17429,176165
826,PO_826,Kamepally Bo -508258,508258,postoffice,7,16.61534,78.83316,275704
827,PO_827,Kondamallepally -508243,508243,postoffice,7,16.71501,78.97678,177865
828,PO_828,Mannevaripally -509375,509375,postoffice,7,16.5338,78.89896,352292
829,PO_829,Shobhanadripuram -508113,508113,postoffice,7,17.34952,79.09393,177018
830,PO_830,Medaram B.O -508266,508266,postoffice,7,16.69013,79.13151,203167
831,PO_831,Suraram -508113,508113,postoffice,7,17.36445,79.2235,176914
832,PO_832,Meldavai B.O -508373,508373,postoffice,7,16.82619,78.9702,293687
833,PO_833,Meldavai B.O -508373,508373,postoffice,7,16.82619,78.9702,293794
834,PO_834,Mosangi -508257,508257,postoffice,7,16.80929,79.18636,328730
835,PO_835,Mustipally B.O -508243,508243,postoffice,7,16.76866,78.96543,293104
836,PO_836,Thummalaguda -508112,508112,postoffice,7,17.33399,79.05174,184227
837,PO_837,Neredgum Bo -508248,508248,postoffice,7,16.62084,78.97914,185362
838,PO_838,Palwai -508257,508257,postoffice,7,16.75721,79.03538,328777
839,PO_839,Parvedula B.O -508266,508266,postoffice,7,16.66809,79.21898,204039
840,PO_840,Pedda Adishrlapally -508243,508243,postoffice,7,16.68477,79.06916,177989
841,PO_841,Peddaadisrlapally B.O -508243,508243,postoffice,7,16.68478,79.06929,180561
842,PO_842,Peddavoora S.O -508266,508266,postoffice,7,16.72827,79.20804,204666
843,PO_843,Pendlipakala B.O -508243,508243,postoffice,7,16.66797,78.99442,179853
844,PO_844,Penimila -509376,509376,postoffice,7,16.52165,78.73479,279370
845,PO_845,Pothunoor B.O -508266,508266,postoffice,7,16.69895,79.17045,204807
846,PO_846,Pothunoor B.O -508266,508266,postoffice,7,16.69895,79.17045,207854
847,PO_847,Vemulakonda -508112,508112,postoffice,7,17.36136,79.12715,180376
848,PO_848,Pothunoor B.O -508266,508266,postoffice,7,16.69899,79.17048,204744
849,PO_849,Pulicherla B.O -508266,508266,postoffice,7,16.66088,79.16067,206529
850,PO_850,Pulicherla B.O -508266,508266,postoffice,7,16.66088,79.16068,207870
851,PO_851,Yennaram,,postoffice,7,17.32107,79.2046,185046
852,PO_852,Puratwanipally -509376,509376,postoffice,7,16.48144,78.69819,278504
853,PO_853,Shagazipur -508257,508257,postoffice,7,16.79395,79.01066,353256
854,PO_854,Shakavally Bo -508248,508248,postoffice,7,16.64557,78.94997,204608
855,PO_855,Sirasanagandla B.O -508266,508266,postoffice,7,16.79133,79.25306,204549
856,PO_856,Sultanpur -508257,508257,postoffice,7,16.83271,79.03007,353251
