sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
154,770,ali cafe,,shakti-gtfs,5,17.38209,78.51817
155,1616,ali nagar,,shakti-gtfs,5,17.70826,78.70245
156,src5_1615,aliabad,,src5,3,17.6252,78.59154
157,src5_1616,aliabad,,src5,3,17.62565,78.5923
158,556,aliabad,,shakti-gtfs,5,17.34759,78.47064
159,1479,aliabad ramalayam,,shakti-gtfs,5,17.61662,78.59883
160,1478,aliabad sc colony,,shakti-gtfs,5,17.62155,78.59977
161,1419,aliabad village,,shakti-gtfs,5,17.62525,78.59171
162,src5_1613,aliabad x road,,src5,3,17.61918,78.57161
163,src5_1614,aliabad x road,,src5,3,17.61897,78.57146
164,2326,aliabad x road,,shakti-gtfs,5,17.61936,78.5713
165,1388,alijapur,,shakti-gtfs,5,17.39244,78.39723
166,775,alind,alind towards lingampally railway station,gps-logs-ghz|kodali-stops,2,17.47653,78.32471
167,908,alind,alind towards hcu main gate,gps-logs-ghz|kodali-stops,2,17.47653,78.32493
168,158,alind,,shakti-gtfs,5,17.47667,78.32462
169,src5_261,alind / doyens colony,,src5,3,17.47667,78.32456
170,src5_262,alind / doyens colony,"bapu nagar, old mumbai highway, doyens colony, serilingampally, hyderabad",src5,3,17.4767,78.32476
171,node/2166591655,alind / doyens colony,,osm,4,17.4767,78.32478
172,node/2166591671,alind / doyens colony,,osm,4,17.47661,78.32462
173,1704,aliyabad,aliyabad,gps-logs-ghz|kodali-stops,2,17.34345,78.46964
174,1705,aliyabad,aliyabad,gps-logs-ghz|kodali-stops,2,17.34431,78.46987
175,src5_2675,aliyabad,,src5,3,17.34438,78.46999
176,src5_2671,aliyabad / shamsheergunj,,src5,3,17.34339,78.46964
177,1986,alkapur,,shakti-gtfs,5,17.38949,78.36799
178,958,alkapuri,alkapuri towards l b nagar,gps-logs-ghz|kodali-stops,2,17.36388,78.55743
179,994,alkapuri,alkapuri towards nagole,gps-logs-ghz|kodali-stops,2,17.36596,78.55697
180,src5_3835,alkapuri,"inner ring road, nagole, hyderabad",src5,3,17.36403,78.55737
181,node/2430216676,alkapuri,,osm,4,17.36519,78.55689
182,135,alkapuri,,shakti-gtfs,5,17.36504,78.5571
